OBJECTID,מקום,הערות,תאריך,שעות שהייה,סוג מיקום,x,y
36498,"פאב ""דרינק פוינט"", רח' הסיבים 7, פתח תקווה",,13/3/2020,00:00-01:00,מיקום חולה,34.857300000000066,32.09077000000008
36499,"פאב ""דרינק פוינט"", רח' הסיבים 7, פתח תקווה",,13/3/2020,00:00-01:00,מיקום חולה,34.857300000000066,32.09077000000008
36500,בית חולים וולפסון,כל מי שביקר במחלקה פנימית ד' או במחלקת רגל סכרתית,13/3/2020,00:00-23:59,מיקום חולה,34.76270740000007,32.03603090000007
36501,"ישיבת חינוך לנער, צפת", ,13/3/2020,00:00-02:00,מיקום חולה,35.49917530000005,32.958460900000034
36502,"ישיבת חב""ד הגדולה, צפת", ,13/3/2020,00:00-23:59,מיקום חולה,35.49421200000006,32.97198100000003
36516,"חנות לבגדי נשים ""לילוש"" בקרית ים - שד' ירושלים 51",לא צוינו שעות,13/3/2020,00:02-23:58,מיקום חולה,35.06890348200005,32.842670275000046
36529,"בית כנסת מרכזי התמר, אפרת",,13/3/2020,00:02-23:58,מיקום חולה,35.14993400000003,31.653589000000068
37538,סינמה סיטי - ראשון לציון,,13/3/2020,00:25 - 01:50,מיקום חולה,34.77236320000003,31.989177700000027
37475,בר ג'ימי הו - תל אביב - יפו,,13/3/2020,00:30 - 03:00,מיקום חולה,34.77194626200003,32.06304228600004
37044,סופר - בני ברק,,13/3/2020,00:45 - 02:00,מיקום חולה,34.82218024900004,32.081293678000065
37031,מסעדת אגאדיר - בני ברק,,13/3/2020,01:00 - 02:00,מיקום חולה,34.84204086700004,32.089237996000065
36530,"מסעדת ""אבולעפיה"", רח' הסיבים 19, פתח תקווה",,13/3/2020,01:00-01:30,מיקום חולה,34.85699000000005,32.08938000000006
36531,"מסעדת ""אבולעפיה"", רח' הסיבים 19, פתח תקווה",,13/3/2020,01:00-01:30,מיקום חולה,34.85699000000005,32.08938000000006
36508,"ספוטניק בר"" ברחוב אלנבי 122, תל אביב", ,13/3/2020,02:15-04:15,מיקום חולה,34.77314240000004,32.06284130000006
36532,"בית כנסת ""אור לשבים"" יהוד",תפילה,13/3/2020,05:00-07:00,מיקום חולה,34.89205000000004,32.03719000000007
36533,מאפיית דרך הלחם - יבנה,,13/3/2020,05:00 - 15:00,מיקום חולה,34.736028100000055,31.866469400000028
36520,"בית כנסת בבית מדרש ""אוהלי שם"" רח' נהר שלום כוכב יעקב", ,13/3/2020,05:15-06:16,מיקום חולה,35.24825400000003,31.879040000000032
36534,בית כנסת 'בני ישיבות' קרית יערים (טלז סטון),,13/3/2020,05:20-06:30,מיקום חולה,35.09902269400004,31.802639445000068
37383,בית כנסת רבנות - רחובות,,13/3/2020,05:30 - 06:30,מיקום חולה,34.81537080000004,31.898843500000055
36535,"בית כנסת מגן שלמה, מושב גילת",,13/3/2020,05:45-06:30,מיקום חולה,34.648934000000054,31.326321000000064
36514,"בית כנסת ""משכנות נריה"", אלעד", ,13/3/2020,05:45-06:20,מיקום חולה,34.95075000000003,32.04953000000006
36536,רחוב אלעזר פתח תקווה, ,13/3/2020,06:00-06:30,מיקום חולה,34.90198740000005,32.08007520000007
36537,בית כנסת עולי אירופה - מגדל העמק,,13/3/2020,06:00 - 06:30,מיקום חולה,35.26490988100005,32.69357615900003
36538,"בית כנסת ""חושן"" רחוב הבדולח 12 מודיעין", ,13/3/2020,07:00-08:00,מיקום חולה,34.99476240000007,31.90359490000003
36539,כולל 'נחלי דעת' קרית יערים (טלז סטון),,13/3/2020,07:00-13:00,מיקום חולה,35.09902269400004,31.802639445000068
37040,"בית כנסת ""כנסת ישראל"" - בני ברק",,13/3/2020,07:00 - 07:30,מיקום חולה,34.84004153600006,32.08432381100005
37321,קול יעקב - ירושלים,,13/3/2020,07:00 - 08:00,מיקום חולה,35.189116600000034,31.762294000000058
37338,בית כנסת חושן - מודיעין-מכבים-רעות,,13/3/2020,07:00 - 08:00,מיקום חולה,34.99462787600004,31.90358147300003
37135,בית כנסת בלחסן - חיפה,,13/3/2020,07:00 - 08:00,מיקום חולה,35.07085846100006,32.83807361500004
37449,בית כנסת ברסלב - ירושלים,,13/3/2020,07:00 - 10:30,מיקום חולה,35.224230900000066,31.785502500000064
36540,"בית כנסת הישן, ישוב אלון שבות",,13/3/2020,07:20-07:50,מיקום חולה,35.125256000000036,31.65487100000007
