,,,,,,,,,,,
,מספר חולים מאומתים בקורונה לפי ישוב נכון לתאריך 27.03.2020 בשעה 16:00,,,,,,,,,,
,4,מגאר,,5,אופקים,,18,צפת,,352,ירושלים
,4,עכו,,5,דייר חנא,,18,רמלה,,267,בני ברק
,4,פרדס חנה-כרכור,,5,מסלול,,17,גבעתיים,,211,תל אביב - יפו
,4,צור הדסה,,5,סח'נין,,17,גדרה,,194,לא ידוע
,4,קרית ביאליק,,5,עלי זהב,,17,שוהם,,78,אשקלון
,3,אורה,,5,עמנואל,,15,אבן יהודה,,76,ראשון לציון
,3,אלפי מנשה,,5,קדימה-צורן,,15,אספר,,63,מודיעין-מכבים-רעות
,3,ברקת,,5,קרית מוצקין,,14,גן יבנה,,63,פתח תקווה
,3,גבע בנימין,,5,קרית שמונה,,14,קרית גת,,58,אשדוד
,3,הר אדר,,5,שדרות,,13,מעלה אדומים,,57,מגדל העמק
,3,כפר חושן,,5,שילה,,13,נהריה,,55,רמת גן
,3,כפר תבור,,5,שמעה,,13,קרית ים,,52,נתניה
,3,מבשרת ציון,,4,אבני איתן,,12,גני תקווה,,51,בת ים
,3,מעלות-תרשיחא,,4,אזור,,12,דימונה,,51,חולון
,3,מצפה רמון,,4,באר יעקב,,12,זכרון יעקב,,46,אפרת
,3,נוף הגליל,,4,גבעת זאב,,12,חדרה,,46,יהוד-מונוסון
,3,נס ציונה,,4,זיתן,,12,יבנה,,44,חיפה
,3,נשר,,4,יבנאל,,10,קרית אתא,,43,אלעד
,3,סביון,,4,יובלים,,9,אלון שבות,,43,באר שבע
,3,סנסנה,,4,מגאר,,9,יקנעם עילית,,39,רחובות
,3,עופרה,,4,עכו,,9,כפר יונה,,39,רעננה
,3,צור יצחק,,4,פרדס חנה-כרכור,,9,ראש העין,,38,הרצליה
,3,קצרין,,4,צור הדסה,,8,גבעת שמואל,,37,בית שמש
,3,קרני שומרון,,4,קרית ביאליק,,8,קרית ארבע,,32,אור יהודה
,3,רנן,,3,אורה,,7,טירת כרמל,,31,גילת
,3,שלומי,,3,אלפי מנשה,,7,כוכב יעקב,,30,לוד
,2,אור עקיבא,,3,ברקת,,7,מעלה מכמש,,30,קרית יערים
,2,אחיעזר,,3,גבע בנימין,,7,נווה דניאל,,29,כפר סבא
,2,אלקנה,,3,הר אדר,,7,נתיבות,,26,ענב
,2,אמציה,,3,כפר חושן,,7,תל מונד,,25,ביתר עילית
,2,בארי,,3,כפר תבור,,6,אילת,,25,"כפר חב""ד"
,2,בוקעאתא,,3,מבשרת ציון,,6,אירוס,,25,עפולה
,2,ביצרון,,3,מעלות-תרשיחא,,6,טמרה,,25,קרית מלאכי
,2,בית עובד,,3,מצפה רמון,,6,כוכב יאיר,,24,רמת השרון
,2,"בני עי""ש",,3,נוף הגליל,,6,כרמיאל,,22,טבריה
,2,בת חן,,3,נס ציונה,,6,עומר,,19,מודיעין עילית
,2,גבע כרמל,,3,נשר,,6,ערד,,19,קרית אונו
,2,דבוריה,,3,סביון,,6,פסגות,,18,הוד השרון
,מספר חולים מאומתים בקורונה לפי ישוב נכון לתאריך 27.03.2020 בשעה 16:00,,,,,,,,,,
,1,עתניאל,,1,כוכב השחר,,1,בית גמליאל,,2,הושעיה
,1,פרדסיה,,1,כפר אחים,,1,בית זית,,2,זיקים
,1,צופית,,1,כפר האורנים,,1,בית יצחק-שער חפר,,2,חנתון
,1,קרית עקרון,,1,כפר נטר,,1,בית נקופה,,2,חריש
,1,רהט,,1,כפר שמאי,,1,בית שקמה,,2,יפעת
,1,רכסים,,1,כרם בן זמרה,,1,בני ציון,,2,כסיפה
,1,רמות השבים,,1,להב,,1,בר גיורא,,2,כפר אדומים
,1,רמות מאיר,,1,לפיד,,1,ברקן,,2,"כפר ביל""ו"
,1,שדה אילן,,1,מגדל,,1,בת חפר,,2,כפר ויתקין
,1,שדה ורבורג,,1,מיתר,,1,גבעת ברנר,,2,כפר תפוח
,1,שדה יעקב,,1,מכמנים,,1,"גבעת ניל""י",,2,להבים
,1,שדי חמד,,1,מסעודין אל-עזאזמה,,1,גיאה,,2,מגדים
,1,שורש,,1,מעגן,,1,גילון,,2,מזכרת בתיה
,1,שושנת העמקים,,1,מעון,,1,גן יאשיה,,2,מירון
,1,שחר,,1,מעין ברוך,,1,גרופית,,2,מעגלים
,1,שכניה,,1,מעש,,1,דלתון,,2,מצדות יהודה
,1,שלומית,,1,מצפה יריחו,,1,דקל,,2,מרכז שפירא
,1,שעל,,1,מצפה נטופה,,1,המעפיל,,2,מתן
,1,שפרעם,,1,משמרת,,1,הרדוף,,2,נחלים
,1,שרונה,,1,נאעורה,,1,חגור,,2,עין שריד
,1,שרשרת,,1,נווה ימין,,1,חולית,,2,ציפורי
,1,תאשור,,1,נווה מבטח,,1,חוקוק,,2,רמת ישי
,1,תומר,,1,נוף איילון,,1,חירות,,2,רשפון
,1,תל יוסף,,1,נחושה,,1,חמד,,2,שדמה
,1,תקוע,,1,נטעים,,1,חצרים,,2,שומריה
,,,,1,ניצני עוז,,1,חרוצים,,2,שמשית
,,,,1,ניר בנים,,1,חרשים,,2,תל יצחק
,,,,1,ניר ישראל,,1,חשמונאים,,1,אבו גוש
,,,,1,ניר משה,,1,טייבה,,1,אביחיל
,,,,1,ניר צבי,,1,טירת יהודה,,1,אבני חפץ
,,,,1,ספיר,,1,טל שחר,,1,אום אל-פחם
,,,,1,עדנים,,1,יד בנימין,,1,אורות
,,,,1,"עין הנצי""ב",,1,יפיע,,1,אחוזת ברק
,,,,1,עין תמר,,1,ירוחם,,1,איתמר
,,,,1,עינת,,1,ירחיב,,1,אכסאל
,,,,1,עראבה,,1,ירקונה,,1,אל סייד
,,,,1,ערוגות,,1,יתד,,1,אלונים
,,,,1,עתלית,,1,כברי,,1,אריאל
