town_code,town,n_2019
2710,אום אל-פחם,"56,109"
31,אופקים,"30,662"
2400,אור יהודה,"36,813"
1020,אור עקיבא,"18,972"
2600,אילת,"52,299"
1309,אלעד,"48,763"
3570,אריאל,"20,540"
70,אשדוד,"225,939"
7100,אשקלון,"144,073"
6000,באקה אל-גרביה,"29,950"
9000,באר שבע,"209,687"
9200,בית שאן,"18,464"
2610,בית שמש,"124,957"
3780,ביתר עילית,"59,270"
6100,בני ברק,"204,639"
6200,בת ים,"129,013"
681,גבעת שמואל,"26,578"
6300,גבעתיים,"60,644"
2200,דימונה,"34,500"
9700,הוד השרון,"63,175"
6400,הרצלייה,"97,470"
6500,חדרה,"97,335"
6600,חולון,"196,282"
4000,חיפה,"285,316"
6700,טבריה,"44,779"
2730,טייבה,"43,957"
2720,טירה,"26,552"
2100,טירת כרמל,"23,112"
8900,טמרה,"34,392"
2660,יבנה,"47,585"
9400,יהוד,"29,928"
240,יקנעם עילית,"23,796"
3000,ירושלים,"936,425"
168,כפר יונה,"24,778"
6900,כפר סבא,"101,432"
634,כפר קאסם,"23,823"
1139,כרמיאל,"46,252"
7000,לוד,"77,223"
874,מגדל העמק,"25,675"
1200,מודיעין-מכבים-רעות*,"93,277"
3797,מודיעין עילית,"76,374"
3616,מעלה אדומים,"38,155"
1063,מעלות-תרשיחא,"21,836"
9100,נהרייה,"58,096"
1061,נוף הגליל,"41,734"
7200,נס ציונה,"50,351"
7300,נצרת,"77,445"
2500,נשר,"24,148"
246,נתיבות,"37,542"
7400,נתניה,"221,353"
7500,סח'נין,"31,702"
7600,עכו,"49,380"
7700,עפולה,"54,250"
531,עראבה,"25,833"
2560,ערד,"26,756"
7900,פתח תקווה,"247,956"
8000,צפת,"36,094"
638,קלנסווה,"23,143"
2620,קריית אונו,"40,409"
6800,קריית אתא,"59,030"
9500,קריית ביאליק,"40,231"
2630,קריית גת,"57,105"
9600,קריית ים,"39,897"
8200,קריית מוצקין,"43,303"
1034,קריית מלאכי,"23,819"
2800,קריית שמונה,"22,512"
2640,ראש העין,"61,801"
8300,ראשון לציון,"254,384"
1161,רהט,"71,437"
8400,רחובות,"143,904"
8500,רמלה,"76,246"
8600,רמת גן,"163,480"
2650,רמת השרון,"47,245"
8700,רעננה,"75,421"
1031,שדרות,"27,635"
8800,שפרעם,"42,137"
5000,תל אביב-יפו,"460,613"
מועצות מקומיות - סך הכל,,"1,358,683"
472,אבו גוש,"7,698"
473,אבו סנאן,"14,099"
182,אבן יהודה,"13,826"
3760,אורנית,"8,955"
565,אזור,"12,957"
478,אכסאל,"14,784"
41,אליכין,"3,415"
3750,אלפי מנשה,"7,952"
3560,אלקנה,"3,838"
529,אעבלין,"13,305"
3650,אפרת,"10,806"
2530,באר יעקב,"27,768"
482,בועיינה-נוג'ידאת,"9,812"
4001,בוקעאתא,"6,610"
998,ביר אל-מכסור,"9,522"
3574,בית אל,"5,973"
3652,בית אריה-עופרים,"5,253"
480,בית ג'ן,"12,001"
466,בית דגן,"7,285"
1066,"בני עי""ש","6,978"
9800,בנימינה-גבעת עדה*,"15,847"
1326,"בסמ""ה","10,010"
944,בסמת טבעון,"7,916"
483,בענה,"8,381"
1292,ג'דיידה-מכר,"21,163"
485,ג'ולס,"6,465"
627,ג'לג'וליה,"10,148"
541,ג'סר א-זרקא,"14,930"
487,ג'ש (גוש חלב),"3,105"
628,ג'ת,"12,100"
3730,גבעת זאב,"18,420"
2550,גדרה,"28,313"
166,גן יבנה,"23,869"
229,גני תקווה,"20,398"
494,דאלית אל-כרמל,"17,653"
489,דבורייה,"10,510"
490,דייר אל-אסד,"12,514"
492,דייר חנא,"10,339"
3769,הר אדר,"4,088"
9300,זכרון יעקב,"23,206"
1290,זמר,"7,094"
975,זרזיר,"8,119"
1303,חורה,"22,337"
496,חורפיש,"6,410"
2034,חצור הגלילית,"9,272"
1247,חריש,"13,232"
962,טובא-זנגרייה,"6,776"
498,טורעאן,"14,240"
1295,יאנוח-ג'ת,"6,679"
46,יבנאל,"4,243"
29,יסוד המעלה,"1,730"
499,יפיע,"19,151"
831,ירוחם,"10,294"
502,ירכא,"17,171"
504,כאבול,"14,095"
505,כאוכב אבו אל-היג'א,"3,589"
1224,כוכב יאיר,"8,702"
1059,כסיפה,"21,866"
1296,כסרא-סמיע,"8,818"
978,כעביה-טבאש-חג'אג'רה,"5,504"
633,כפר ברא,"3,678"
1263,כפר ורדים,"5,486"
507,כפר יאסיף,"10,133"
508,כפר כמא,"3,373"
509,כפר כנא,"22,751"
510,כפר מנדא,"20,188"
654,כפר קרע,"19,018"
267,כפר שמריהו,"1,938"
47,כפר תבור,"4,311"
1271,להבים,"6,415"
1060,לקיה,"14,075"
1015,מבשרת ציון,"24,052"
516,מג'ד אל-כרום,"15,455"
4201,מג'דל שמס,"11,180"
481,מגאר,"22,957"
65,מגדל,"1,952"
28,מזכרת בתיה,"14,837"
517,מזרעה,"3,929"
43,מטולה,"1,615"
1268,מיתר,"9,418"
4203,מסעדה,"3,714"
518,מעיליא,"3,244"
3608,מעלה אפרים,"1,260"
1327,מעלה עירון,"15,065"
99,מצפה רמון,"5,211"
520,משהד,"8,373"
522,נחף,"13,113"
525,סאג'ור,"4,270"
587,סביון*,"4,036"
