town,date,accumulated_tested,accumulated_cases,lag7_accumulated_tested,lag7_accumulated_cases,town_code,n_2019,P,N,lag7_N,G,score
בני ברק,2020-04-04,3869,1306,526,197,6100,204639,0.3317379599162429,54.19299351541006,8.79597730637855,6.1611111111111105,9.670533147065843
בני ברק,2020-04-05,4547,1448,660,253,6100,204639,0.30743503987651144,58.39551600623537,11.239304335928146,5.195652173913043,9.401312797040639
בני ברק,2020-04-06,5133,1610,1031,407,6100,204639,0.2932715748415407,58.7864483309633,18.56928542457694,3.1657894736842103,8.415375231143999
בני ברק,2020-04-07,5530,1711,1707,657,6100,204639,0.27569971226785245,51.5053337829055,30.297255166415006,1.6999999999999997,7.037404337064762
בני ברק,2020-04-08,5996,1800,2412,891,6100,204639,0.25362723214285715,44.41968539721167,41.585426042934145,1.0681551116333723,5.957252071209177
בני ברק,2020-04-09,6326,1871,3028,1089,6100,204639,0.23711340206185566,38.2136347421557,49.1108732939469,0.7781094527363184,5.171055397712945
בני ברק,2020-04-10,6526,1913,3563,1243,6100,204639,0.2261221734728316,32.7405821959646,55.56125665195784,0.5892700087950747,4.4591390631437
בני ברק,2020-04-11,6744,1951,3869,1306,6100,204639,0.22434782608695653,31.518918681189803,54.19299351541006,0.5816050495942291,4.394704095753085
בני ברק,2020-04-12,7155,2045,4547,1448,6100,204639,0.2289110429447853,29.173324732822188,58.39551600623537,0.499581589958159,4.013899933620315
בני ברק,2020-04-13,7504,2125,5133,1610,6100,204639,0.21720792914382117,25.16626840436085,58.7864483309633,0.42809642560266004,3.5558419029904607
בני ברק,2020-04-14,7852,2184,5530,1711,6100,204639,0.2037037037037037,23.113873699539187,51.5053337829055,0.4487666034155598,3.5633913120417793
בני ברק,2020-04-15,8089,2241,5996,1800,6100,204639,0.21070234113712374,21.55014440062745,44.41968539721167,0.48514851485148525,3.6501198724333537
בני ברק,2020-04-16,8347,2292,6326,1871,6100,204639,0.2083127164769916,20.57281358880761,38.2136347421557,0.5383631713554987,3.811565751321779
בני ברק,2020-04-17,8857,2372,6526,1913,6100,204639,0.1969111969111969,22.429742131265304,32.7405821959646,0.6850746268656718,4.3785467468311445
בני ברק,2020-04-18,9341,2436,6744,1951,6100,204639,0.18675394686176358,23.700272186631093,31.518918681189803,0.751937984496124,4.618627924384257
בני ברק,2020-04-19,9675,2471,7155,2045,6100,204639,0.16904761904761906,20.81714629176257,29.173324732822188,0.71356783919598,4.381952406209492
בני ברק,2020-04-20,10294,2550,7504,2125,6100,204639,0.15232974910394265,20.768279751171573,25.16626840436085,0.8252427184466019,4.668312565889403
בני ברק,2020-04-21,10742,2597,7852,2184,6100,204639,0.14290657439446366,20.18188126407967,23.113873699539187,0.87315010570824525,4.751352965504173
בני ברק,2020-04-22,11211,2632,8089,2241,6100,204639,0.12524023062139655,19.10681737107785,21.55014440062745,0.8866213151927437,4.725025599695711
בני ברק,2020-04-23,11672,2677,8347,2292,6100,204639,0.11578947368421053,18.8136181275319,20.57281358880761,0.9144893111638955,4.770275661514749
בני ברק,2020-04-24,12221,2714,8857,2372,6100,204639,0.10166468489892984,16.712356882119245,22.429742131265304,0.7450980392156863,4.240377518484723
בני ברק,2020-04-25,12491,2754,9341,2436,6100,204639,0.10095238095238095,15.539559907935436,23.700272186631093,0.6556701030927834,3.911813055890244
בני ברק,2020-04-26,12709,2764,9675,2471,6100,204639,0.0965721819380356,14.31789639316064,20.81714629176257,0.6877934272300469,3.925048299060348
בני ברק,2020-04-27,13012,2780,10294,2550,6100,204639,0.08462104488594555,11.239304335928146,20.768279751171573,0.5411764705882354,3.2019748613371286
בני ברק,2020-04-28,13583,2811,10742,2597,6100,204639,0.0753255895811334,10.457439686472275,20.18188126407967,0.5181598062953996,3.0417861996467632
בני ברק,2020-04-29,13800,2816,11211,2632,6100,204639,0.07106991116261105,8.991443468742517,19.10681737107785,0.47058823529411764,2.6976135335571843
בני ברק,2020-04-30,14010,2829,11672,2677,6100,204639,0.06501283147989735,7.427714169830775,18.8136181275319,0.39480519480519477,2.1546191397038803
בני ברק,2020-05-01,14323,2844,12221,2714,6100,204639,0.06184586108468126,6.352650276828952,16.712356882119245,0.38011695906432746,1.9220502516827545
בני ברק,2020-05-02,14452,2848,12491,2754,6100,204639,0.0479347271800102,4.593454815553242,15.539559907935436,0.29559748427672955,1.0931110639527917
בני ברק,2020-05-03,14607,2852,12709,2764,6100,204639,0.04636459430979979,4.300255572007291,14.31789639316064,0.3003412969283277,1.0587984414948428
בני ברק,2020-05-04,14903,2857,13012,2780,6100,204639,0.040719196192490745,3.7627236255063794,11.239304335928146,0.3347826086956522,1.1416851890443547
בני ברק,2020-05-05,15159,2862,13583,2811,6100,204639,0.03236040609137056,2.492193570140589,10.457439686472275,0.2383177570093458,0.048907560696328026
בני ברק,2020-05-06,15425,2869,13800,2816,6100,204639,0.032615384615384616,2.589926651322573,8.991443468742517,0.28804347826086957,0.46641879032095
בני ברק,2020-05-07,15754,2884,14010,2829,6100,204639,0.03153669724770642,2.6876597325045566,7.427714169830775,0.36184210526315785,0.9595182429664556
בני ברק,2020-05-08,15959,2885,14323,2844,6100,204639,0.02506112469437653,2.0035281642306697,6.352650276828952,0.31538461538461543,0.3901175815941884
בני ברק,2020-05-09,16066,2886,14452,2848,6100,204639,0.023543990086741014,1.8569285424576938,4.593454815553242,0.4042553191489362,0.8104495552056249
בני ברק,2020-05-10,16214,2888,14607,2852,6100,204639,0.0224019912881145,1.7591954612757101,4.300255572007291,0.4090909090909091,0.7800210771285642
בני ברק,2020-05-11,16479,2895,14903,2857,6100,204639,0.024111675126903553,1.8569285424576938,3.7627236255063794,0.4935064935064935,1.209499236668285
בני ברק,2020-05-12,16617,2898,15159,2862,6100,204639,0.024691358024691357,1.7591954612757101,2.492193570140589,0.7058823529411766,1.8713296114783982
בני ברק,2020-05-13,16780,2899,15425,2869,6100,204639,0.02214022140221402,1.4659962177297583,2.589926651322573,0.5660377358490566,1.2471134873631318
בני ברק,2020-05-14,16915,2903,15754,2884,6100,204639,0.01636520241171404,0.9284642712288469,2.6876597325045566,0.34545454545454546,0
בני ברק,2020-05-15,16996,2903,15959,2885,6100,204639,0.017357762777242044,0.8795977306378551,2.0035281642306697,0.4390243902439025,0.22747850243266657
בני ברק,2020-05-16,17055,2904,16066,2886,6100,204639,0.01820020222446916,0.8795977306378551,1.8569285424576938,0.4736842105263159,0.3795556213194143
בני ברק,2020-05-17,17188,2904,16214,2888,6100,204639,0.01642710472279261,0.7818646494558711,1.7591954612757101,0.4444444444444444,0.13411931970310523
בני ברק,2020-05-18,17359,2906,16479,2895,6100,204639,0.0125,0.5375319465009114,1.8569285424576938,0.2894736842105263,0
בני ברק,2020-05-19,17478,2906,16617,2898,6100,204639,0.009291521486643438,0.39093232472793554,1.7591954612757101,0.2222222222222222,0
בני ברק,2020-05-20,17646,2907,16780,2899,6100,204639,0.009237875288683603,0.39093232472793554,1.4659962177297583,0.26666666666666666,0
בני ברק,2020-05-21,17757,2907,16915,2903,6100,204639,0.004750593824228029,0.19546616236396777,0.9284642712288469,0.2105263157894737,0
בני ברק,2020-05-22,17822,2909,16996,2903,6100,204639,0.007263922518159807,0.2931992435459516,0.8795977306378551,0.33333333333333326,0
בני ברק,2020-05-23,17846,2909,17055,2904,6100,204639,0.006321112515802781,0.2443327029549597,0.8795977306378551,0.27777777777777773,0
בני ברק,2020-05-24,17933,2909,17188,2904,6100,204639,0.006711409395973154,0.2443327029549597,0.7818646494558711,0.3125,0
בני ברק,2020-05-25,18062,2909,17359,2906,6100,204639,0.004267425320056899,0.1465996217729758,0.5375319465009114,0.27272727272727265,0
בני ברק,2020-05-26,18211,2911,17478,2906,6100,204639,0.0068212824010914054,0.2443327029549597,0.39093232472793554,0.625,0
בני ברק,2020-05-27,18351,2913,17646,2907,6100,204639,0.00851063829787234,0.2931992435459516,0.39093232472793554,0.7499999999999999,0.1987967959173593
בני ברק,2020-05-28,18426,2916,17757,2907,6100,204639,0.013452914798206279,0.43979886531892753,0.19546616236396777,2.2500000000000004,2.802104265924286
בני ברק,2020-05-29,18447,2917,17822,2909,6100,204639,0.0128,0.39093232472793554,0.2931992435459516,1.3333333333333335,1.6377433283890306
בני ברק,2020-05-30,18454,2918,17846,2909,6100,204639,0.014802631578947368,0.43979886531892753,0.2443327029549597,1.8000000000000003,2.3559858778934593
בני ברק,2020-05-31,18535,2918,17933,2909,6100,204639,0.014950166112956811,0.43979886531892753,0.2443327029549597,1.8000000000000003,2.3560043197102103
בני ברק,2020-06-01,18724,2924,18062,2909,6100,204639,0.022658610271903322,0.7329981088648791,0.1465996217729758,5.000000000000001,4.911095994060032
בני ברק,2020-06-02,18950,2930,18211,2911,6100,204639,0.02571041948579161,0.9284642712288469,0.2443327029549597,3.8,4.598992556872477
בני ברק,2020-06-03,19140,2936,18351,2913,6100,204639,0.029150823827629912,1.1239304335928146,0.2931992435459516,3.833333333333334,4.807945204115426
בני ברק,2020-06-04,19413,2941,18426,2916,6100,204639,0.025329280648429583,1.2216635147747985,0.43979886531892753,2.7777777777777772,4.246682121818849
בני ברק,2020-06-05,19802,2949,18447,2917,6100,204639,0.023616236162361623,1.5637292989117422,0.39093232472793554,4,5.222614296365435
בני ברק,2020-06-06,20069,2951,18454,2918,6100,204639,0.02043343653250774,1.6125958395027342,0.43979886531892753,3.6666666666666665,5.078965351099198
בני ברק,2020-06-07,20401,2958,18535,2918,6100,204639,0.021436227224008574,1.9546616236396777,0.43979886531892753,4.444444444444444,5.656206377878004
בני ברק,2020-06-08,20692,2971,18724,2924,6100,204639,0.023882113821138213,2.296727407776621,0.7329981088648791,3.133333333333333,5.11866530895903
בני ברק,2020-06-09,21217,2984,18950,2930,6100,204639,0.023820026466696075,2.6387931919135648,0.9284642712288469,2.8421052631578947,5.0623893264739115
בני ברק,2020-06-10,21818,3002,19140,2936,6100,204639,0.024645257654966394,3.2251916790054684,1.1239304335928146,2.8695652173913047,5.282394093233481
בני ברק,2020-06-11,22287,3021,19413,2941,6100,204639,0.027835768963117607,3.9093232472793553,1.2216635147747985,3.2,5.693145367211265
