סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
0         ,לא רשום                  ,0         ,לא ידוע                  ,0         ,                         ,0         ,                         ,23957     ,2523      ,1020      ,1012      ,613       ,694       ,18095
7         ,שחר                      ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,800       ,64        ,200       ,273       ,100       ,69        ,94
10        ,תירוש                    ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,448       ,34        ,81        ,162       ,53        ,53        ,65
11        ,ניר ח"ן                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,613       ,44        ,137       ,192       ,82        ,61        ,97
13        ,חצבה                     ,62        ,באר שבע                  ,63        ,אילת                     ,54        ,הערבה התיכונה            ,728       ,55        ,190       ,212       ,87        ,40        ,144
15        ,נועם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,471       ,40        ,108       ,161       ,56        ,41        ,65
16        ,בית ניר                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,35        ,יואב                     ,686       ,36        ,201       ,196       ,124       ,52        ,77
18        ,שדה משה                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,644       ,68        ,171       ,205       ,75        ,51        ,74
21        ,באר אורה                 ,62        ,באר שבע                  ,63        ,אילת                     ,53        ,חבל אילות                ,1124      ,73        ,400       ,351       ,202       ,62        ,36
22        ,מקווה ישראל              ,53        ,חולון                    ,53        ,חולון                    ,0         ,                         ,227       ,23        ,39        ,78        ,33        ,17        ,37
23        ,אמציה                    ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,256       ,31        ,59        ,98        ,18        ,18        ,32
24        ,לכיש                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,850       ,50        ,195       ,281       ,148       ,78        ,98
26        ,ראש פינה                 ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,3430      ,243       ,676       ,1167      ,450       ,308       ,586
27        ,שדות מיכה                ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,394       ,26        ,101       ,130       ,38        ,43        ,56
28        ,מזכרת בתיה               ,44        ,רחובות                   ,44        ,רחובות                   ,0         ,                         ,16473     ,1218      ,4443      ,5545      ,2377      ,1263      ,1627
29        ,יסוד המעלה               ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,1785      ,128       ,356       ,622       ,260       ,178       ,241
31        ,אופקים                   ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,35586     ,4765      ,7982      ,13340     ,3148      ,2663      ,3688
32        ,עוצם                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,647       ,69        ,126       ,225       ,72        ,78        ,77
33        ,בת שלמה                  ,32        ,חדרה                     ,32        ,חדרה                     ,15        ,חוף הכרמל                ,666       ,46        ,174       ,238       ,84        ,61        ,63
35        ,גדות                     ,21        ,צפת                      ,21        ,צפת                      ,1         ,הגליל העליון             ,511       ,40        ,90        ,170       ,54        ,46        ,111
36        ,שדה דוד                  ,61        ,אשקלון                   ,61        ,אשקלון                   ,50        ,לכיש                     ,646       ,72        ,154       ,238       ,68        ,34        ,80
37        ,איתן                     ,61        ,אשקלון                   ,61        ,אשקלון                   ,34        ,שפיר                     ,551       ,63        ,125       ,210       ,50        ,53        ,50
38        ,כרי דשא                  ,22        ,כנרת                     ,22        ,טבריה                    ,6         ,עמק הירדן                ,4         ,0         ,0         ,0         ,1         ,1         ,2
39        ,גפן                      ,11        ,ירושלים                  ,13        ,בית שמש                  ,26        ,מטה יהודה                ,392       ,39        ,86        ,140       ,33        ,45        ,49
41        ,אליכין                   ,41        ,השרון                    ,32        ,חדרה                     ,0         ,                         ,3717      ,289       ,785       ,1266      ,464       ,401       ,512
